word,layer_1,layer_2
pursuing,0.047,0.119
Frank,0.013,0.048
innocent,0.076,0.099
lawyer,0.063,0.059
academy,0.041,0.021
shocked,0.039,0.047
Academy,0.061,0.046
Today,0.042,0.041
compensation,0.007,0.006
directors,0.021,0.017
sitting,0.06,0.063
LendingTree,0.079,0.121
42,0.009,0.007
43,0.034,0.048
21,0.016,0.017
Last,0.152,0.085
week,0.025,0.018
lawyers,0.018,0.051
Warner,0.179,0.187
grant,0.026,0.08
sentencing,0.079,0.113
Gov.,0.026,0.033
Mark,0.208,0.232
governor,0.016,0.012
intervene,0.007,0.009
Can,0.037,0.002
coverage,0.036,0.023
prescription,0.019,0.034
Congress,0.045,0.023
benefit,0.038,0.046
option,0.046,0.022
insurance,0.014,0.019
ago,0.01,0.006
Brian,0.042,0.023
tape,0.021,0.014
raises,0.042,0.054
CIA,0.009,0.012
men,0.032,0.055
eight,0.014,0.018
software,0.017,0.011
revenues,0.024,0.026
watch,0.032,0.029
closely,0.003,0.005
Dotson,0.046,0.018
arrested,0.03,0.032
reportedly,0.006,0.012
telling,0.021,0.031
shot,0.032,0.022
Dennehy,0.012,0.065
tried,0.014,0.022
warrant,0.022,0.084
murder,0.049,0.039
assume,0.016,0.008
Black,0.093,0.07
identity,0.046,0.064
maintained,0.076,0.159
murdered,0.077,0.122
PeopleSoft,0.005,0.006
rejecting,0.026,0.004
recommended,0.002,0.016
Several,0.009,0.009
Democratic,0.016,0.016
trying,0.007,0.003
minority,0.036,0.081
headquarters,0.019,0.004
These,0.047,0.043
dark,0.009,0.014
Geneva,0.015,0.012
International,0.032,0.024
Air,0.025,0.017
Association,0.021,0.015
Italy,0.008,0.007
Netherlands,0.034,0.01
Portugal,0.015,0.007
Spain,0.012,0.021
Other,0.051,0.065
include,0.017,0.007
dollar,0.049,0.069
yen,0.043,0.042
flat,0.014,0.018
Swiss,0.033,0.017
virtually,0.021,0.031
0.1,0.12,0.038
visitors,0.038,0.072
gunmen,0.026,0.067
Muslim,0.004,0.007
backed,0.039,0.021
coalition,0.011,0.012
Near,0.003,0.007
mosque,0.016,0.021
northern,0.052,0.071
town,0.026,0.012
average,0.15,0.251
45,0.021,0.023
shopping,0.013,0.02
Nearly,0.032,0.005
running,0.028,0.046
father,0.016,0.023
stayed,0.014,0.012
century,0.076,0.05
remained,0.003,0.004
owners,0.039,0.038
Authority,0.123,0.109
guidelines,0.016,0.017
upgrade,0.002,0.002
discovered,0.006,0.01
strategic,0.049,0.047
Knight,0.081,0.005
signing,0.004,0.014
Google,0.01,0.015
services,0.023,0.018
advertising,0.002,0.002
execution,0.025,0.027
received,0.012,0.015
threatening,0.006,0.079
accompanied,0.02,0.031
rifle,0.077,0.032
allows,0.014,0.005
developers,0.007,0.008
Java,0.009,0.015
C,0.029,0.037
products,0.037,0.033
integrated,0.094,0.215
civil,0.007,0.01
burden,0.033,0.008
Protesters,0.057,0.064
calling,0.018,0.028
Khamenei,0.022,0.038
liner,0.014,0.006
Ayatollah,0.039,0.094
Ali,0.131,0.182
age,0.039,0.029
archdiocese,0.007,0.012
Boston,0.017,0.035
55,0.115,0.105
abuse,0.021,0.025
obtained,0.018,0.019
Associated,0.012,0.018
conversations,0.003,0.005
firefighters,0.006,0.014
emergency,0.015,0.01
media,0.014,0.009
Among,0.082,0.04
30-year,0.021,0.004
bond,0.1,0.163
US30YT,0.007,0.006
=,0.069,0.166
RR,0.018,0.011
yield,0.122,0.204
dipped,0.011,0.026
union,0.029,0.017
America,0.009,0.005
futures,0.03,0.027
sub,0.017,0.014
quarterly,0.031,0.005
barrels,0.051,0.059
loaded,0.023,0.035
onto,0.014,0.018
Singapore,0.072,0.154
12th,0.026,0.022
partner,0.012,0.044
Although,0.072,0.038
strongest,0.077,0.073
April,0.007,0.006
pushed,0.013,0.015
rally,0.024,0.02
posted,0.01,0.015
climbed,0.016,0.022
higher,0.052,0.079
consecutive,0.032,0.038
Jim,0.025,0.018
Day,0.054,0.028
winning,0.005,0.012
major,0.009,0.026
passed,0.017,0.017
Research,0.013,0.015
Foundation,0.019,0.013
allegedly,0.025,0.038
2.9,0.122,0.041
2003,0.012,0.008
decline,0.036,0.03
sister,0.009,0.006
9/11,0.005,0.007
spent,0.009,0.039
thousands,0.006,0.009
investigating,0.018,0.035
al,0.027,0.015
Diego,0.046,0.025
abroad,0.042,0.037
attorney,0.04,0.038
Thomas,0.021,0.016
link,0.01,0.009
owned,0.006,0.017
currency,0.046,0.052
January,0.023,0.062
patient,0.01,0.014
West,0.026,0.029
Nile,0.07,0.067
virus,0.017,0.03
Department,0.055,0.015
contracted,0.087,0.244
county,0.009,0.011
benefits,0.02,0.034
wish,0.013,0.014
resolve,0.008,0.022
Korean,0.01,0.01
crisis,0.046,0.043
peacefully,0.039,0.111
recorded,0.085,0.121
39,0.058,0.033
2.6,0.168,0.13
24,0.014,0.028
weekly,0.015,0.08
1.2,0.055,0.009
closing,0.074,0.108
tech,0.143,0.183
clearly,0.009,0.027
captured,0.023,0.04
insurgents,0.072,0.126
"2,100",0.009,0.027
offensive,0.015,0.017
Republican,0.01,0.013
attended,0.046,0.139
proceedings,0.051,0.021
wearing,0.043,0.031
ring,0.087,0.068
haired,0.018,0.009
Markets,0.046,0.015
cent,0.115,0.118
stocks,0.035,0.037
Paul,0.031,0.024
MDC,0.023,0.005
targeted,0.025,0.02
handling,0.036,0.082
envoy,0.027,0.028
Japan,0.011,0.035
growing,0.019,0.019
international,0.017,0.02
halt,0.056,0.086
unless,0.004,0.011
freed,0.027,0.037
Burma,0.024,0.014
seem,0.047,0.058
little,0.027,0.036
devoted,0.019,0.032
concept,0.046,0.046
proposal,0.007,0.024
modest,0.039,0.053
compared,0.081,0.095
never,0.014,0.022
though,0.022,0.023
Saudi,0.012,0.022
despite,0.016,0.016
going,0.018,0.009
happen,0.038,0.036
El,0.054,0.021
affects,0.021,0.055
Big,0.02,0.009
below,0.026,0.038
bail,0.08,0.104
returned,0.008,0.013
Las,0.011,0.052
Vegas,0.046,0.024
video,0.01,0.009
Jackson,0.034,0.009
businesses,0.021,0.017
confident,0.023,0.022
corporate,0.005,0.015
PCs,0.027,0.035
replace,0.018,0.05
older,0.031,0.104
firm,0.026,0.044
Mr,0.043,0.031
warned,0.005,0.004
airline,0.021,0.016
negotiators,0.028,0.03
BA,0.013,0.039
television,0.02,0.015
almost,0.003,0.006
250,0.085,0.091
Both,0.013,0.005
kids,0.015,0.03
wonderful,0.007,0.024
Hospital,0.067,0.045
upset,0.01,0.004
suit,0.051,0.127
jury,0.019,0.014
calculating,0.002,0.021
killer,0.057,0.034
District,0.056,0.071
Attorney,0.033,0.02
jurors,0.018,0.064
4.30,0.003,0.198
seventh,0.017,0.013
died,0.02,0.019
21-year,0.016,0.009
critical,0.116,0.215
nearby,0.005,0.132
Malawi,0.032,0.049
intelligence,0.009,0.012
anonymity,0.4,0.334
paid,0.023,0.028
salary,0.017,0.03
Dynes,0.03,0.022
On,0.115,0.1
cell,0.016,0.02
recognised,0.02,0.018
cells,0.015,0.001
kill,0.056,0.07
recognized,0.032,0.049
Korea,0.023,0.043
required,0.071,0.114
expect,0.001,0.003
condemn,0.005,0.012
Governing,0.036,0.073
headed,0.076,0.154
permit,0.014,0.01
business,0.012,0.021
instructed,0.007,0.008
daughter,0.027,0.013
sleep,0.046,0.048
apparently,0.037,0.043
works,0.019,0.023
Windows,0.011,0.038
2000,0.061,0.051
Further,0.034,0.026
10-year,0.066,0.1
US10YT,0.006,0.015
shed,0.049,0.183
driving,0.02,0.034
Tech,0.035,0.036
forecast,0.01,0.015
Sun,0.022,0.024
Ernst,0.017,0.006
Young,0.015,0.02
denied,0.03,0.016
allegations,0.031,0.021
recommendations,0.011,0.037
Neither,0.033,0.01
nor,0.197,0.225
bribery,0.011,0.02
solve,0.013,0.015
Indeed,0.006,0.004
admitted,0.036,0.111
neither,0.09,0.123
Rogers,0.05,0.041
helped,0.021,0.026
bus,0.027,0.039
accident,0.015,0.016
covered,0.02,0.042
Disease,0.312,0.229
Control,0.028,0.009
Three,0.033,0.024
goes,0.008,0.022
sniper,0.004,0.001
shootings,0.038,0.054
Deaths,0.018,0.003
crashes,0.02,0.019
accounted,0.027,0.09
traffic,0.01,0.004
deaths,0.051,0.044
6.2,0.097,0.06
Labor,0.005,0.015
improvement,0.036,0.033
reached,0.047,0.075
fresh,0.017,0.019
Schools,0.03,0.064
Chancellor,0.056,0.094
Klein,0.011,0.028
push,0.016,0.021
standards,0.009,0.007
pleased,0.04,0.028
1950s,0.008,0.002
Norway,0.008,0.025
witness,0.04,0.044
saw,0.014,0.037
trial,0.075,0.062
While,0.021,0.017
anti,0.014,0.008
Minister,0.049,0.035
fit,0.018,0.008
Industry,0.081,0.043
sue,0.005,0.009
officers,0.018,0.025
buying,0.007,0.017
basically,0.018,0.068
Rev.,0.039,0.039
J.,0.024,0.049
calls,0.022,0.022
seeking,0.062,0.11
Australian,0.01,0.019
victims,0.048,0.044
few,0.018,0.025
row,0.055,0.036
32,0.138,0.083
sent,0.008,0.022
Baghdad,0.026,0.025
0,0.011,0.027
basis,0.062,0.069
takeover,0.006,0.009
militant,0.014,0.014
students,0.007,0.014
backing,0.032,0.051
protests,0.015,0.019
banning,0.003,0.032
adding,0.022,0.077
fewer,0.023,0.041
votes,0.004,0.005
gradually,0.011,0.005
preventing,0.047,0.028
judicial,0.044,0.065
Since,0.029,0.025
47,0.013,0.019
Ryan,0.062,0.055
outfielder,0.016,0.016
High,0.011,0.007
selected,0.039,0.052
pick,0.022,0.015
Chicago,0.02,0.037
spoke,0.075,0.067
conference,0.027,0.029
included,0.026,0.035
invited,0.062,0.027
Four,0.05,0.036
pleaded,0.007,0.009
counts,0.104,0.195
published,0.124,0.149
Journal,0.087,0.14
appears,0.004,0.01
governments,0.007,0.01
largely,0.034,0.058
Hurricane,0.004,0.031
transportation,0.018,0.028
replacement,0.019,0.011
combines,0.0,0.008
estrogen,0.005,0.009
combination,0.014,0.078
picked,0.006,0.003
Some,0.083,0.093
50,0.011,0.011
registered,0.054,0.11
Oct.,0.01,0.004
signed,0.011,0.019
seconds,0.018,0.013
conclusion,0.053,0.02
suicide,0.023,0.044
WHO,0.023,0.038
experts,0.011,0.013
rural,0.003,0.011
areas,0.045,0.025
Activists,0.012,0.027
gathering,0.026,0.022
farming,0.058,0.084
countries,0.008,0.013
Their,0.038,0.048
instead,0.024,0.057
Food,0.011,0.011
Workers,0.038,0.032
membership,0.035,0.062
losing,0.018,0.021
blue,0.024,0.033
Dow,0.075,0.057
industrial,0.292,0.359
.DJI,0.055,0.005
Oklahoma,0.005,0.01
Gas,0.024,0.013
Energy,0.022,0.009
Web,0.031,0.012
Now,0.044,0.017
husband,0.01,0.021
Roger,0.001,0.0
faces,0.046,0.071
indictment,0.009,0.019
Philippine,0.006,0.006
suspect,0.055,0.073
Barbini,0.012,0.006
comments,0.03,0.03
Conference,0.094,0.106
Science,0.077,0.062
Agriculture,0.037,0.056
Secretary,0.029,0.039
Ann,0.118,0.186
Yesterday,0.009,0.007
Amazon,0.025,0.029
Market,0.051,0.014
Prince,0.043,0.035
Sandy,0.023,0.072
global,0.009,0.014
investment,0.013,0.038
CEO,0.042,0.021
gold,0.039,0.084
GMT,0.059,0.059
Canada,0.006,0.006
focus,0.041,0.034
tries,0.016,0.037
stay,0.025,0.022
75,0.026,0.009
failed,0.013,0.009
supervisor,0.002,0.042
violate,0.011,0.011
Fifth,0.105,0.18
Amendment,0.018,0.05
path,0.042,0.046
Judge,0.047,0.044
Peterson,0.026,0.022
44,0.05,0.014
sessions,0.048,0.042
struck,0.028,0.033
able,0.017,0.012
Constitution,0.053,0.044
marketing,0.002,0.004
charitable,0.003,0.028
donations,0.004,0.005
'm,0.012,0.013
talking,0.022,0.021
follow,0.012,0.014
immigration,0.007,0.005
violations,0.004,0.003
investigated,0.052,0.044
investigation,0.026,0.032
administrative,0.006,0.008
bar,0.033,0.043
smoking,0.047,0.057
clubs,0.031,0.017
regulation,0.013,0.015
transaction,0.024,0.01
Handspring,0.007,0.004
Palm,0.015,0.013
Under,0.087,0.07
sold,0.008,0.017
facilities,0.039,0.031
approved,0.063,0.046
FDA,0.012,0.005
Bali,0.025,0.054
nightclub,0.037,0.074
bombings,0.039,0.031
200,0.014,0.019
Indonesia,0.006,0.012
News,0.019,0.017
suspects,0.008,0.019
security,0.019,0.013
French,0.012,0.011
fifth,0.016,0.051
population,0.049,0.061
By,0.101,0.085
downtown,0.036,0.046
demonstrators,0.011,0.024
jobs,0.018,0.018
threw,0.016,0.063
49,0.006,0.032
During,0.032,0.033
declared,0.019,0.023
slipped,0.034,0.007
Matt,0.013,0.036
actually,0.013,0.015
giant,0.011,0.005
rock,0.032,0.052
Earth,0.012,0.008
Mexico,0.016,0.008
rebels,0.029,0.041
accused,0.045,0.042
countryside,0.036,0.052
peace,0.023,0.023
awarded,0.016,0.029
patent,0.006,0.006
feature,0.028,0.052
instant,0.011,0.048
users,0.026,0.021
Who,0.055,0.038
There,0.016,0.011
seriously,0.014,0.009
usual,0.08,0.034
urged,0.022,0.021
employees,0.016,0.032
arrests,0.007,0.012
Selenski,0.003,0.002
Mount,0.005,0.008
Road,0.029,0.016
acts,0.021,0.059
committed,0.013,0.014
killers,0.079,0.046
hate,0.004,0.015
Kansas,0.007,0.009
16,0.014,0.023
relations,0.032,0.029
noted,0.007,0.011
consumer,0.017,0.028
army,0.023,0.023
abuses,0.097,0.153
battle,0.027,0.03
independence,0.043,0.042
accusing,0.002,0.003
committing,0.003,0.008
economy,0.031,0.025
sanctions,0.043,0.053
ex,0.021,0.023
Saddam,0.015,0.011
Hussein,0.016,0.014
1990,0.088,0.095
occupation,0.021,0.016
shattered,0.066,0.081
refugee,0.057,0.05
English,0.03,0.027
Turkish,0.03,0.021
dictionary,0.047,0.042
bulk,0.165,0.112
65,0.015,0.049
Afghanistan,0.019,0.021
primarily,0.004,0.013
House,0.051,0.032
68,0.082,0.07
Colorado,0.01,0.021
legislation,0.019,0.02
probe,0.019,0.026
inquiry,0.034,0.03
every,0.003,0.012
ups,0.032,0.051
kicking,0.05,0.034
smoke,0.022,0.004
Nevada,0.008,0.025
Lee,0.039,0.057
tied,0.031,0.093
atop,0.023,0.117
holes,0.078,0.089
tie,0.037,0.074
November,0.029,0.027
aggressive,0.007,0.014
pricing,0.009,0.016
payments,0.015,0.037
Medicare,0.012,0.007
patients,0.01,0.021
Boeing,0.006,0.012
airplane,0.018,0.035
airlines,0.004,0.006
error,0.021,0.021
poll,0.019,0.014
voters,0.01,0.026
Defense,0.049,0.051
massive,0.002,0.007
publicity,0.003,0.008
pool,0.088,0.058
argued,0.028,0.027
banks,0.019,0.02
via,0.023,0.012
Internet,0.006,0.006
mortgage,0.013,0.026
Most,0.043,0.019
cuts,0.054,0.12
Australia,0.012,0.021
disaster,0.084,0.077
carrying,0.022,0.024
38,0.021,0.021
heed,0.127,0.07
red,0.016,0.024
lights,0.038,0.035
academic,0.042,0.032
Diana,0.021,0.023
wrote,0.018,0.008
claiming,0.017,0.066
plot,0.028,0.037
Security,0.032,0.018
installed,0.027,0.054
grounds,0.035,0.029
gate,0.021,0.003
locations,0.021,0.012
Moore,0.074,0.067
immediate,0.071,0.047
Robert,0.016,0.014
asking,0.003,0.004
historical,0.01,0.009
review,0.025,0.025
Ed,0.006,0.01
White,0.058,0.029
Iranians,0.04,0.014
Qaida,0.027,0.007
native,0.004,0.011
senior,0.006,0.016
Seattle,0.009,0.03
Society,0.015,0.008
tomorrow,0.022,0.019
Justice,0.009,0.011
H.,0.054,0.073
Rehnquist,0.01,0.013
Clarence,0.052,0.063
Justices,0.045,0.1
targets,0.028,0.031
meet,0.013,0.009
counties,0.012,0.008
see,0.007,0.008
aircraft,0.016,0.013
landing,0.024,0.026
pilots,0.007,0.014
150,0.084,0.106
wonder,0.047,0.067
official,0.03,0.023
Whitney,0.005,0.006
engine,0.031,0.019
assembly,0.033,0.031
McCain,0.007,0.232
Nelson,0.02,0.04
Commerce,0.021,0.032
significant,0.019,0.017
hurdle,0.004,0.006
Zealand,0.051,0.052
seek,0.005,0.003
penalty,0.07,0.04
've,0.01,0.008
six,0.011,0.015
Let,0.043,0.027
Force,0.035,0.036
momentum,0.012,0.022
contrary,0.197,0.133
package,0.009,0.023
taxes,0.051,0.048
difficulty,0.014,0.01
multiple,0.013,0.025
easier,0.022,0.038
Putin,0.026,0.036
Arabia,0.01,0.003
Before,0.007,0.007
Russia,0.013,0.022
regards,0.022,0.01
suggests,0.017,0.093
everything,0.011,0.02
Mexican,0.005,0.007
considered,0.023,0.034
kidnapping,0.031,0.033
Tampa,0.026,0.022
differing,0.038,0.023
Ten,0.023,0.018
instances,0.035,0.004
missile,0.008,0.008
research,0.014,0.013
ways,0.029,0.022
blame,0.028,0.039
Tigers,0.111,0.06
killings,0.03,0.051
talks,0.019,0.026
interim,0.013,0.024
Glasgow,0.007,0.006
citizen,0.027,0.026
beheading,0.001,0.004
80,0.011,0.031
originally,0.027,0.041
northwest,0.101,0.118
tire,0.003,0.004
shop,0.072,0.048
Georgia,0.04,0.02
Jordan,0.025,0.024
absolutely,0.007,0.013
losses,0.05,0.074
occurred,0.012,0.011
overnight,0.008,0.041
Santa,0.007,0.041
threatened,0.003,0.016
acres,0.008,0.026
credit,0.013,0.019
Rep.,0.006,0.007
Major,0.022,0.063
D,0.068,0.035
latest,0.01,0.009
programs,0.03,0.039
However,0.028,0.009
releases,0.05,0.063
0.39,0.248,0.221
initially,0.029,0.072
61,0.044,0.017
states,0.02,0.027
60,0.007,0.008
senators,0.043,0.104
Republicans,0.012,0.028
57,0.018,0.007
Turner,0.078,0.04
represents,0.058,0.167
Five,0.038,0.032
Manuel,0.032,0.009
entered,0.023,0.027
walking,0.017,0.014
NASD,0.018,0.009
regulations,0.021,0.084
Merrill,0.006,0.014
Its,0.003,0.01
keywords,0.005,0.007
Chinese,0.014,0.024
Radio,0.011,0.009
although,0.005,0.003
All,0.024,0.047
Things,0.002,0.005
recently,0.005,0.028
proud,0.028,0.014
citizens,0.006,0.013
picks,0.014,0.027
resignation,0.046,0.033
resign,0.06,0.061
previously,0.016,0.048
robbery,0.03,0.026
conviction,0.054,0.111
served,0.021,0.02
87,0.057,0.074
cracked,0.021,0.025
co,0.003,0.005
Cisco,0.001,0.008
supplier,0.061,0.108
homes,0.036,0.018
polled,0.111,0.16
Group,0.01,0.007
autopsy,0.009,0.005
reports,0.016,0.021
initial,0.025,0.073
Howard,0.029,0.019
fairly,0.015,0.012
van,0.022,0.017
SUV,0.009,0.042
smugglers,0.004,0.005
Sheriff,0.036,0.046
People,0.026,0.011
witnesses,0.044,0.031
hear,0.012,0.007
located,0.05,0.041
vulnerability,0.009,0.005
NT,0.002,0.006
4.0,0.003,0.006
Terminal,0.078,0.059
Server,0.016,0.069
patch,0.009,0.009
additional,0.011,0.022
brings,0.006,0.004
Union,0.042,0.033
banned,0.013,0.022
import,0.002,0.006
modified,0.012,0.057
EU,0.016,0.015
consumers,0.006,0.007
feared,0.06,0.059
risks,0.04,0.057
gets,0.016,0.011
opportunity,0.038,0.032
test,0.028,0.03
McDonald,0.154,0.143
moves,0.034,0.04
According,0.02,0.015
Long,0.005,0.008
Hispanic,0.069,0.12
listed,0.062,0.123
Bureau,0.018,0.021
census,0.034,0.102
Authorities,0.215,0.2
forward,0.036,0.037
looked,0.002,0.013
deadly,0.013,0.019
Actor,0.022,0.009
2005,0.021,0.009
extension,0.031,0.012
producer,0.135,0.251
TV,0.028,0.015
Communications,0.012,0.009
Sprint,0.062,0.042
relationships,0.016,0.012
profile,0.117,0.024
SARS,0.011,0.007
teacher,0.019,0.018
lives,0.015,0.036
Second,0.01,0.003
0.4,0.042,0.023
distributed,0.088,0.145
non,0.03,0.008
governmental,0.03,0.038
boycott,0.046,0.061
organisations,0.009,0.042
grew,0.003,0.021
count,0.048,0.086
assault,0.055,0.043
Bryant,0.011,0.02
S.,0.064,0.051
51,0.089,0.05
combined,0.092,0.225
suspected,0.014,0.04
Syrian,0.007,0.019
Third,0.018,0.019
fighters,0.02,0.024
decided,0.025,0.011
rape,0.035,0.022
proceed,0.023,0.045
martial,0.013,0.007
Houston,0.011,0.013
Southwest,0.022,0.023
With,0.016,0.004
fought,0.022,0.054
streaming,0.008,0.022
uprising,0.082,0.068
miners,0.047,0.056
besieged,0.03,0.053
leaving,0.005,0.011
track,0.069,0.067
dozen,0.05,0.055
Taliban,0.019,0.034
convoy,0.12,0.16
Dell,0.086,0.032
Red,0.007,0.012
Cross,0.045,0.024
Ireland,0.078,0.071
Palestine,0.011,0.028
Campaign,0.007,0.003
planning,0.002,0.005
quite,0.005,0.022
27-year,0.008,0.017
laboratory,0.029,0.019
worker,0.014,0.022
manufacturing,0.018,0.03
sector,0.017,0.015
indicates,0.012,0.064
expansion,0.047,0.032
growth,0.024,0.023
lawsuit,0.035,0.03
Alabama,0.027,0.062
Building,0.037,0.016
earned,0.022,0.059
bonus,0.039,0.05
truck,0.046,0.036
spotted,0.013,0.05
description,0.01,0.012
knew,0.007,0.002
Jodie,0.012,0.007
Michael,0.016,0.01
Powell,0.046,0.02
FCC,0.003,0.002
colleagues,0.026,0.078
Industrial,0.291,0.267
Average,0.118,0.117
0.5,0.295,0.182
Tehran,0.001,0.011
Western,0.018,0.058
lifted,0.076,0.099
peaceful,0.05,0.053
Bill,0.01,0.013
veto,0.052,0.105
bills,0.041,0.052
times,0.023,0.019
low,0.035,0.024
negative,0.019,0.044
cargo,0.004,0.003
Old,0.019,0.004
Man,0.036,0.025
hospitalized,0.09,0.098
Reserve,0.083,0.126
worldwide,0.033,0.059
stood,0.039,0.044
decade,0.003,0.019
Associates,0.008,0.032
1995,0.003,0.009
Campbell,0.082,0.087
climbing,0.019,0.049
Smith,0.029,0.021
David,0.021,0.012
transferred,0.032,0.026
platform,0.011,0.015
gay,0.022,0.019
Democrat,0.013,0.018
explicitly,0.007,0.025
marriages,0.001,0.011
63,0.026,0.007
regular,0.011,0.021
quarantined,0.002,0.016
Still,0.056,0.058
scientist,0.013,0.019
himself,0.03,0.045
advocate,0.073,0.051
ran,0.007,0.016
Hundreds,0.052,0.066
Star,0.017,0.026
Weather,0.087,0.08
investigations,0.042,0.054
Wilson,0.02,0.019
prepare,0.01,0.015
Church,0.021,0.025
anniversary,0.12,0.078
cards,0.021,0.016
pictures,0.027,0.038
Liberal,0.178,0.16
Montenegro,0.014,0.061
independent,0.009,0.011
radical,0.026,0.067
So,0.062,0.058
showed,0.005,0.032
offender,0.054,0.083
appeared,0.022,0.014
isolated,0.044,0.059
island,0.023,0.009
Taiwan,0.007,0.011
epidemic,0.002,0.013
fastest,0.051,0.065
games,0.04,0.039
daily,0.033,0.088
took,0.002,0.005
Columbia,0.015,0.039
college,0.009,0.012
miles,0.033,0.019
north,0.01,0.008
Each,0.048,0.074
Japanese,0.066,0.075
Against,0.019,0.031
separation,0.036,0.039
buyers,0.039,0.04
payment,0.025,0.023
basic,0.023,0.022
offering,0.006,0.015
blasts,0.053,0.106
Olympic,0.029,0.02
Games,0.007,0.013
Student,0.034,0.02
faced,0.131,0.196
threatens,0.018,0.014
conservatives,0.007,0.023
provided,0.012,0.012
stance,0.009,0.006
disappointed,0.138,0.154
abortion,0.008,0.012
Africa,0.025,0.024
Joe,0.044,0.031
vice,0.054,0.073
Army,0.025,0.027
Maine,0.032,0.059
majority,0.049,0.031
G.,0.028,0.057
railroad,0.117,0.051
subway,0.005,0.005
jets,0.019,0.019
scheduled,0.063,0.038
2006,0.036,0.054
Airways,0.016,0.005
Russian,0.023,0.028
Vladimir,0.037,0.018
web,0.026,0.007
sites,0.03,0.013
wants,0.01,0.006
village,0.013,0.012
alone,0.093,0.112
Christmas,0.008,0.009
Dec.,0.007,0.015
fish,0.022,0.019
Fed,0.009,0.009
Empire,0.055,0.059
jumping,0.024,0.036
May.,0.005,0.002
pulled,0.015,0.011
Investigators,0.07,0.013
matters,0.021,0.043
discussed,0.011,0.018
bench,0.076,0.074
strikes,0.023,0.034
owns,0.029,0.139
Ukraine,0.005,0.014
producing,0.024,0.047
vision,0.023,0.021
Many,0.004,0.003
improvements,0.002,0.003
Bruce,0.122,0.148
Van,0.072,0.088
De,0.028,0.025
Morgan,0.022,0.093
de,0.03,0.012
confirm,0.07,0.076
37,0.009,0.027
probable,0.035,0.104
eagle,0.017,0.01
suffering,0.017,0.026
wounds,0.009,0.003
Just,0.016,0.014
Dean,0.06,0.035
taxpayer,0.028,0.019
spending,0.024,0.042
China,0.023,0.036
mainland,0.031,0.018
Finder,0.008,0.007
dynamic,0.006,0.019
supports,0.012,0.019
organise,0.07,0.07
sexually,0.013,0.058
S&P,0.135,0.085
applications,0.011,0.021
culture,0.041,0.11
cash,0.034,0.02
weather,0.048,0.101
effects,0.008,0.037
Martin,0.039,0.023
58,0.034,0.003
manslaughter,0.037,0.056
guidance,0.032,0.029
fiscal,0.005,0.006
remaining,0.007,0.018
guru,0.017,0.015
dangerous,0.001,0.024
experiment,0.01,0.01
ICC,0.026,0.006
cricket,0.027,0.024
career,0.014,0.028
Vietnam,0.016,0.023
peacekeeping,0.008,0.009
obligation,0.035,0.025
seeing,0.017,0.018
minimize,0.008,0.016
district,0.096,0.069
Former,0.007,0.005
star,0.015,0.024
appeals,0.049,0.135
names,0.014,0.019
detained,0.01,0.019
NASA,0.008,0.023
Arctic,0.01,0.014
ice,0.038,0.014
conventional,0.033,0.053
adopted,0.099,0.144
March,0.011,0.027
IAEA,0.004,0.007
invitation,0.091,0.069
accepted,0.008,0.011
Iran,0.015,0.032
Republic,0.097,0.024
Party,0.025,0.037
ministers,0.044,0.041
canceled,0.007,0.016
agricultural,0.01,0.006
reform,0.044,0.056
agriculture,0.026,0.026
representative,0.096,0.144
College,0.015,0.018
Next,0.011,0.007
agree,0.027,0.025
discussions,0.028,0.036
ever,0.02,0.032
guy,0.051,0.05
crowd,0.048,0.035
Perry,0.021,0.029
legislative,0.105,0.146
Rick,0.134,0.112
photo,0.062,0.066
photograph,0.035,0.031
Age,0.063,0.04
Saudis,0.027,0.05
returns,0.044,0.142
submitted,0.083,0.07
Winston,0.125,0.154
Open,0.048,0.036
Costa,0.023,0.023
opponent,0.018,0.013
whom,0.087,0.161
improves,0.192,0.389
speculation,0.079,0.09
Democrats,0.016,0.024
currently,0.033,0.076
congressional,0.021,0.014
delegation,0.002,0.001
casualties,0.025,0.025
choose,0.011,0.023
deserve,0.012,0.016
gun,0.013,0.007
56,0.01,0.04
indigenous,0.107,0.112
democratic,0.021,0.047
worm,0.019,0.027
pornography,0.045,0.056
Vincent,0.099,0.087
Response,0.014,0.01
Armstrong,0.028,0.04
developing,0.01,0.037
appear,0.012,0.02
Indiana,0.025,0.029
Michigan,0.014,0.016
searched,0.033,0.051
Pennsylvania,0.007,0.011
blocked,0.013,0.012
unfounded,0.068,0.051
fears,0.047,0.069
53,0.024,0.022
recent,0.012,0.008
administer,0.216,0.057
circumstances,0.013,0.005
representatives,0.066,0.112
costs,0.023,0.05
Above,0.153,0.022
90,0.076,0.093
diplomat,0.076,0.097
met,0.018,0.024
minutes,0.024,0.011
winner,0.044,0.038
Nobel,0.009,0.019
Peace,0.012,0.024
Prize,0.108,0.12
London,0.013,0.009
embarking,0.056,0.075
launches,0.045,0.078
mind,0.033,0.015
50.7,0.192,0.305
looks,0.008,0.024
priest,0.002,0.016
64,0.056,0.032
Linda,0.035,0.039
includes,0.013,0.043
prisoners,0.023,0.041
Qaeda,0.005,0.004
A.,0.025,0.022
covers,0.054,0.049
e,0.013,0.031
mail,0.057,0.044
Johnson,0.073,0.018
Members,0.053,0.033
precisely,0.061,0.149
Stone,0.073,0.048
