word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
##fer,0.002,0.0,0.001,0.002,0.008,0.013,0.012,0.013,0.013,0.007,0.012,0.005
examination,0.003,0.007,0.016,0.021,0.02,0.025,0.027,0.026,0.025,0.02,0.029,0.021
suggestions,0.002,0.004,0.002,0.003,0.003,0.002,0.001,0.001,0.001,0.0,0.004,0.007
narrow,0.001,0.013,0.009,0.01,0.011,0.012,0.015,0.018,0.013,0.011,0.012,0.013
rap,0.01,0.04,0.07,0.091,0.126,0.133,0.15,0.138,0.103,0.075,0.059,0.07
southeastern,0.002,0.003,0.007,0.006,0.007,0.011,0.029,0.023,0.023,0.027,0.03,0.014
figure,0.002,0.004,0.006,0.004,0.004,0.003,0.003,0.004,0.005,0.006,0.006,0.016
Cabinet,0.009,0.003,0.003,0.009,0.017,0.014,0.013,0.01,0.003,0.003,0.019,0.024
Uganda,0.01,0.007,0.006,0.007,0.011,0.014,0.011,0.011,0.011,0.014,0.016,0.041
unusual,0.001,0.002,0.001,0.0,0.001,0.002,0.002,0.002,0.002,0.003,0.012,0.004
dialogue,0.007,0.016,0.023,0.034,0.038,0.035,0.044,0.041,0.037,0.03,0.035,0.034
##lie,0.002,0.003,0.004,0.008,0.012,0.02,0.042,0.031,0.017,0.01,0.015,0.06
