word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
Jesuit,0.05,0.041,0.018,0.001,0.008,0.014,0.017,0.026,0.009,0.006,0.048,0.58
guerillas,0.031,0.088,0.009,0.004,0.013,0.007,0.004,0.011,0.068,0.094,0.109,0.717
0794,0.041,0.009,0.016,0.049,0.069,0.09,0.065,0.03,0.016,0.01,0.005,0.768
Declarations,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
proceeds,0.006,0.008,0.007,0.085,0.067,0.098,0.093,0.058,0.081,0.114,0.083,0.592
category,0.023,0.024,0.027,0.016,0.006,0.004,0.008,0.006,0.009,0.012,0.045,0.765
partly,0.035,0.001,0.012,0.004,0.002,0.004,0.001,0.002,0.002,0.003,0.027,0.767
refuses,0.006,0.005,0.007,0.019,0.015,0.024,0.006,0.004,0.005,0.005,0.018,0.267
Approval,0.852,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.825
Minutes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thirdly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
prospects,0.018,0.006,0.094,0.005,0.034,0.031,0.055,0.037,0.075,0.064,0.059,0.79
Denmark,0.034,0.018,0.03,0.012,0.003,0.002,0.003,0.004,0.012,0.014,0.028,0.607
demonstrated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dismantling,0.0,0.027,0.012,0.0,0.01,0.034,0.041,0.029,0.054,0.116,0.186,0.37
deficits,0.017,0.01,0.045,0.026,0.029,0.005,0.003,0.01,0.007,0.009,0.061,0.562
Summit,0.043,0.026,0.048,0.044,0.042,0.072,0.093,0.105,0.102,0.069,0.12,0.702
resumed,0.101,0.016,0.065,0.071,0.073,0.173,0.062,0.025,0.015,0.024,0.059,0.801
Question,0.788,0.99,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.995,0.883
H-0886/00,0.093,0.045,0.066,0.094,0.145,0.087,0.069,0.029,0.035,0.003,0.106,0.113
asks,0.039,0.011,0.012,0.046,0.041,0.05,0.06,0.029,0.04,0.032,0.071,0.508
neighbourhood,0.021,0.004,0.002,0.007,0.003,0.041,0.049,0.033,0.035,0.061,0.172,0.666
thoughts,0.021,0.011,0.006,0.008,0.006,0.015,0.058,0.078,0.097,0.051,0.144,0.298
ethics,0.018,0.023,0.003,0.007,0.005,0.01,0.002,0.002,0.004,0.011,0.014,0.627
Do,0.794,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.995,0.931
Austrian,0.566,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.95
i.e.,0.05,0.012,0.014,0.016,0.03,0.034,0.043,0.047,0.065,0.069,0.195,0.823
passing,0.051,0.019,0.012,0.008,0.017,0.011,0.017,0.025,0.033,0.019,0.089,0.522
bypass,0.087,0.011,0.007,0.173,0.212,0.16,0.186,0.132,0.053,0.045,0.011,0.731
circumvent,0.017,0.011,0.032,0.094,0.092,0.11,0.121,0.08,0.048,0.091,0.05,0.31
ignoring,0.012,0.006,0.004,0.006,0.011,0.033,0.02,0.019,0.017,0.014,0.01,0.505
affirmation,0.055,0.007,0.008,0.005,0.002,0.016,0.02,0.012,0.006,0.007,0.054,0.382
choices,0.02,0.007,0.017,0.009,0.007,0.009,0.004,0.005,0.009,0.028,0.047,0.816
presents,0.036,0.015,0.025,0.02,0.005,0.009,0.022,0.026,0.063,0.102,0.309,0.198
excellent,0.012,0.008,0.029,0.015,0.055,0.016,0.034,0.055,0.079,0.051,0.105,0.782
exemplary,0.024,0.054,0.024,0.007,0.003,0.005,0.009,0.013,0.024,0.04,0.13,0.614
Karamanou,0.026,0.013,0.007,0.014,0.067,0.076,0.042,0.023,0.039,0.022,0.042,0.731
Citizens,0.043,0.003,0.01,0.006,0.023,0.012,0.011,0.024,0.033,0.017,0.013,0.517
Freedoms,0.039,0.003,0.036,0.051,0.022,0.023,0.006,0.016,0.04,0.047,0.197,0.641
scientific,0.031,0.015,0.012,0.009,0.009,0.006,0.006,0.017,0.01,0.006,0.016,0.661
Feira,0.063,0.002,0.001,0.0,0.0,0.005,0.009,0.0,0.001,0.002,0.014,0.828
participating,0.015,0.014,0.011,0.023,0.009,0.014,0.009,0.009,0.011,0.007,0.025,0.716
Stabilisation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Process,0.394,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.993,0.951
applicants,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stabilisation,0.076,0.015,0.033,0.055,0.047,0.005,0.007,0.0,0.002,0.008,0.022,0.772
disorder,0.079,0.014,0.039,0.03,0.061,0.045,0.026,0.025,0.034,0.042,0.126,0.689
maintaining,0.071,0.034,0.007,0.007,0.04,0.082,0.035,0.06,0.095,0.12,0.329,0.771
knocking,0.031,0.015,0.002,0.03,0.016,0.023,0.014,0.01,0.014,0.031,0.039,0.749
fold,0.0,0.015,0.006,0.007,0.018,0.012,0.005,0.008,0.002,0.001,0.016,0.401
respectable,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
protected,0.007,0.031,0.056,0.021,0.049,0.03,0.006,0.009,0.023,0.02,0.151,0.627
topic,0.1,0.015,0.015,0.01,0.014,0.006,0.007,0.009,0.014,0.016,0.014,0.688
Serbia,0.025,0.039,0.047,0.037,0.02,0.011,0.011,0.011,0.009,0.017,0.009,0.47
Yugoslavia,0.019,0.016,0.02,0.05,0.046,0.051,0.013,0.008,0.051,0.06,0.028,0.486
recognising,0.018,0.009,0.004,0.017,0.016,0.005,0.013,0.031,0.038,0.031,0.034,0.794
Furthermore,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Policy,0.013,0.028,0.0,0.0,0.0,0.03,0.038,0.028,0.081,0.116,0.05,0.431
Brok,0.041,0.008,0.028,0.043,0.037,0.055,0.015,0.019,0.005,0.007,0.022,0.806
comprehensive,0.023,0.005,0.007,0.004,0.004,0.005,0.006,0.008,0.002,0.003,0.016,0.382
García,0.016,0.009,0.002,0.009,0.016,0.066,0.13,0.075,0.065,0.065,0.072,0.701
Margallo,0.029,0.016,0.012,0.026,0.046,0.025,0.004,0.002,0.006,0.016,0.05,0.703
y,0.006,0.016,0.099,0.094,0.077,0.086,0.09,0.033,0.086,0.093,0.011,0.836
Marfil,0.032,0.025,0.007,0.009,0.023,0.022,0.031,0.035,0.111,0.059,0.077,0.778
commerce,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
concerns,0.065,0.026,0.053,0.027,0.02,0.007,0.012,0.02,0.042,0.05,0.143,0.673
exchanges,0.036,0.009,0.028,0.046,0.056,0.034,0.032,0.099,0.057,0.049,0.036,0.404
emerges,0.039,0.008,0.043,0.071,0.106,0.026,0.043,0.066,0.14,0.124,0.301,0.156
struggle,0.047,0.014,0.023,0.015,0.026,0.02,0.015,0.011,0.037,0.039,0.18,0.743
foreigners,0.085,0.022,0.029,0.039,0.029,0.026,0.04,0.04,0.062,0.078,0.137,0.71
secretariat,0.041,0.012,0.023,0.004,0.006,0.008,0.006,0.011,0.009,0.019,0.05,0.542
satisfy,0.232,0.991,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.997,0.993,0.86
persists,0.067,0.045,0.041,0.006,0.003,0.012,0.01,0.01,0.007,0.008,0.042,0.605
borrowed,0.021,0.02,0.062,0.016,0.056,0.019,0.019,0.036,0.049,0.062,0.131,0.163
welcomes,0.03,0.019,0.023,0.023,0.043,0.036,0.029,0.02,0.051,0.049,0.228,0.769
shame,0.082,0.076,0.056,0.046,0.055,0.045,0.045,0.073,0.128,0.106,0.23,0.547
